temperature,rainfall,ph,turbidity,dissolved_oxygen,nitrate,lead,bacterial_count,clean_water_percentage,sanitation_level,healthcare_access,symptom_diarrhea,symptom_fever,water_dirty,water_scarcity,outbreak_risk
20.14,244.64,8.12,162,11.48,30.3,0.185,40,93.2,86.5,50.45,0,1,0,0,0
26.85,166.25,7.95,377,10.64,5.33,0.028,26,92.0,88.65,63.77,1,0,0,0,0
40.45,36.06,7.63,88,5.94,31.51,0.122,142,75.64,44.97,50.38,0,1,0,0,0
25.68,21.96,7.81,109,9.71,37.97,0.1,84,89.07,56.72,53.13,0,0,1,0,0
38.39,70.76,7.11,112,9.18,36.78,0.2,117,71.41,47.91,67.26,1,0,0,0,0
30.72,8.75,7.44,140,2.01,45.07,0.031,246,93.56,99.39,14.04,0,0,0,0,0
26.82,102.43,7.35,289,4.27,0.25,0.012,72,80.09,77.85,62.01,0,1,0,0,0
27.43,69.0,7.23,69,12.5,39.53,0.028,287,85.95,45.73,24.07,1,0,0,1,0
31.69,185.82,7.23,129,9.43,33.27,0.1,15,36.12,94.1,72.02,0,0,0,0,0
39.15,124.1,7.96,219,6.02,8.85,0.02,322,97.42,59.49,96.68,0,1,0,0,0
25.16,93.98,7.91,213,6.86,13.46,0.04,143,84.97,84.27,81.56,1,0,0,0,0
37.65,151.11,8.49,335,13.78,19.08,0.155,153,81.44,66.57,66.99,0,0,0,0,0
23.86,131.87,7.53,54,2.89,5.77,0.174,183,97.32,95.02,40.14,0,0,0,0,0
44.22,145.26,6.19,53,9.25,2.48,0.019,317,59.93,64.05,15.62,0,0,0,1,0
24.43,208.54,7.85,368,10.99,13.62,0.024,155,81.53,91.17,50.17,0,0,0,1,0
40.57,155.5,7.39,243,5.45,36.85,0.014,209,70.34,72.94,74.0,0,0,1,0,0
43.89,231.63,8.53,232,5.07,32.54,0.023,212,91.41,51.28,70.93,0,0,0,0,0
44.99,252.99,7.09,79,7.44,25.86,0.153,165,97.43,87.67,50.39,0,0,0,1,0
40.74,168.71,8.01,91,6.0,29.75,0.018,134,81.34,97.26,77.16,0,0,1,0,0
26.3,136.25,7.16,70,7.77,22.4,0.024,12,67.26,63.94,47.69,1,0,1,0,0
34.76,280.4,6.03,2,7.15,20.39,0.023,208,73.76,51.35,99.26,0,0,0,0,0
41.02,193.1,7.83,55,6.85,11.08,0.102,173,57.38,61.63,50.03,1,0,0,0,0
35.38,132.95,7.9,41,2.6,43.68,0.015,281,65.13,68.85,93.04,0,1,0,0,0
25.16,206.21,7.06,361,10.62,37.14,0.01,185,96.23,46.49,40.35,0,0,0,1,0
36.76,279.38,7.19,46,12.74,2.53,0.133,112,58.76,51.43,60.98,0,0,0,0,0
27.68,119.52,8.1,86,8.62,13.7,0.013,94,68.15,61.57,51.25,1,1,0,1,0
21.35,20.9,7.32,52,8.59,13.65,0.049,233,87.93,65.48,26.79,0,0,1,0,0
36.37,264.03,6.64,62,6.81,8.93,0.0,33,65.85,80.29,43.0,0,0,0,0,0
33.28,248.58,7.28,26,12.58,18.56,0.015,299,62.16,59.82,91.65,0,0,1,1,0
22.33,13.78,6.33,153,13.15,16.8,0.013,176,94.81,95.94,96.3,0,0,0,1,0
37.37,2.43,7.85,77,8.96,5.56,0.043,62,74.62,31.36,49.38,0,1,0,1,0
23.03,279.0,7.66,282,10.25,16.02,0.04,35,95.66,77.28,75.75,1,0,0,0,0
38.97,57.22,7.7,3,12.73,12.84,0.048,362,95.01,46.5,61.19,0,0,1,0,0
22.6,230.88,6.96,72,12.57,30.34,0.172,18,76.01,70.64,44.82,0,0,1,0,0
32.87,174.71,7.4,266,7.43,26.18,0.196,303,71.25,79.57,67.43,0,1,0,0,0
24.98,262.7,6.63,252,11.5,8.54,0.007,313,64.4,80.17,20.52,0,1,0,1,0
24.37,101.58,6.67,272,9.77,12.32,0.079,224,82.93,42.81,98.99,0,0,0,1,0
34.14,151.19,6.61,32,9.25,49.53,0.053,142,89.39,86.39,56.04,0,0,0,0,0
