temperature,rainfall,ph,turbidity,dissolved_oxygen,nitrate,lead,bacterial_count,clean_water_percentage,sanitation_level,healthcare_access,symptom_diarrhea,symptom_fever,water_dirty,water_scarcity,outbreak_risk
29.36,285.21,8.2,188,9.16,22.29,0.02,458,89.29,64.1,73.73,1,0,1,1,1
40.81,63.7,6.55,276,9.41,30.58,0.001,856,43.3,65.07,22.55,1,1,1,0,2
31.4,235.55,6.6,54,13.8,23.34,0.172,646,33.64,15.85,95.4,1,1,1,1,2
27.62,29.3,8.05,366,10.2,30.5,0.167,34,92.75,33.29,69.63,1,1,1,1,2
33.67,55.46,8.91,217,7.4,19.76,0.185,862,93.75,17.96,27.64,0,1,1,0,2
29.72,81.4,8.49,409,13.58,30.35,0.055,156,84.18,16.71,98.82,1,0,1,1,2
20.14,244.64,8.12,162,11.48,30.3,0.185,40,93.2,86.5,50.45,0,1,0,0,0
36.72,199.78,7.77,213,12.65,23.61,0.024,461,87.91,74.96,31.24,1,0,0,0,1
37.77,33.27,7.32,178,2.38,31.82,0.063,95,75.64,22.54,64.4,0,0,0,1,1
43.57,179.66,8.08,283,13.16,40.41,0.127,645,56.52,29.66,47.49,1,0,1,1,2
23.05,106.89,8.72,384,4.74,21.36,0.164,744,44.38,24.82,58.07,1,0,0,0,2
26.74,73.24,6.5,159,8.23,35.15,0.073,496,40.31,32.22,72.67,0,0,0,0,2
44.94,80.03,8.93,219,2.62,13.93,0.182,402,74.46,57.78,50.3,1,1,0,1,2
22.02,110.9,6.73,293,6.41,31.62,0.127,906,85.31,81.85,23.56,0,1,1,0,2
41.46,97.79,6.66,345,8.15,11.32,0.129,819,95.24,45.78,56.6,1,0,0,1,2
38.38,62.72,7.62,297,5.1,33.0,0.163,571,40.87,99.66,96.89,0,0,1,0,2
24.72,83.66,8.1,207,12.77,44.35,0.156,919,88.07,94.21,80.68,1,1,1,0,2
29.31,282.04,8.92,401,3.93,27.44,0.138,719,99.56,25.83,11.63,1,0,1,1,2
29.16,223.25,8.16,127,8.82,4.68,0.074,374,40.04,63.09,98.1,0,1,1,0,1
30.86,105.02,7.94,366,7.91,9.76,0.144,658,65.76,79.17,13.92,1,1,1,0,2
26.99,265.05,8.24,36,13.14,21.41,0.193,98,98.43,16.78,37.51,1,0,0,1,1
32.13,111.81,7.18,53,10.35,28.5,0.019,287,73.69,42.28,32.87,1,1,1,0,1
41.22,40.99,8.13,38,5.52,40.47,0.162,920,68.92,17.34,10.47,1,0,1,0,2
21.77,119.04,6.15,370,6.06,18.78,0.019,726,73.76,39.53,23.95,1,0,1,1,2
41.51,75.08,6.12,270,6.32,6.35,0.104,52,41.72,96.87,51.15,1,0,1,1,2
30.28,209.85,6.42,143,13.71,25.82,0.065,656,51.91,49.02,76.96,1,0,1,0,2
22.02,128.49,8.07,128,4.08,7.82,0.05,637,27.51,26.46,94.12,0,1,0,0,2
36.43,130.7,8.19,450,4.97,17.8,0.152,696,47.35,18.26,18.47,1,1,1,1,2
24.38,5.15,8.29,340,7.68,8.66,0.087,22,23.84,95.42,89.8,1,0,1,1,2
43.34,150.31,7.62,492,3.96,3.53,0.128,496,89.38,67.28,82.09,1,1,0,1,2
23.21,243.36,8.46,267,6.63,48.06,0.181,555,41.92,29.31,43.95,0,0,1,0,2
28.41,196.72,7.16,457,2.28,40.72,0.056,195,75.43,41.35,94.3,1,1,0,0,2
44.19,164.39,7.27,407,11.68,49.53,0.083,977,40.0,62.25,88.04,1,0,1,0,2
37.0,221.97,6.71,285,12.83,25.26,0.165,341,43.81,19.0,14.81,0,0,0,1,2
28.87,287.04,8.03,51,8.88,31.59,0.09,98,68.2,59.83,29.15,0,0,1,0,1
22.84,279.28,8.92,397,8.59,22.08,0.178,234,76.47,97.18,71.92,1,1,0,0,2
40.96,127.83,6.67,392,11.86,35.31,0.016,164,38.66,62.32,87.68,1,1,0,0,1
42.69,177.57,7.05,251,3.0,38.86,0.112,90,39.9,39.72,49.1,0,0,1,1,2
34.29,222.29,8.3,382,9.79,37.3,0.117,189,52.02,52.99,17.46,0,1,0,1,1
40.05,293.37,7.67,302,12.69,26.39,0.199,228,40.24,72.59,16.79,0,0,0,1,1
27.36,298.75,8.09,258,12.81,2.27,0.056,735,24.63,45.51,19.61,0,1,1,1,2
36.17,116.48,6.69,27,2.93,48.72,0.197,501,22.59,35.18,47.01,0,1,1,0,2
23.33,22.86,8.82,370,10.71,30.67,0.084,823,90.13,59.64,24.84,1,0,1,0,2
32.01,295.59,7.13,281,6.57,48.5,0.168,460,25.08,13.31,22.05,0,1,0,1,2
37.29,160.3,8.25,258,8.67,38.45,0.189,457,50.23,31.7,28.45,0,0,0,0,1
25.18,263.47,8.27,33,6.3,5.68,0.134,673,58.1,84.82,37.7,0,1,1,0,1
22.21,237.55,7.77,254,2.35,37.76,0.124,577,84.4,91.28,65.55,1,1,1,1,2
35.92,166.44,6.27,481,6.18,25.7,0.157,541,69.77,87.61,95.46,1,1,1,0,2
32.3,77.47,7.38,33,9.45,17.37,0.042,42,39.21,16.83,21.6,0,1,0,0,1
23.47,192.26,6.55,183,6.94,43.72,0.103,671,33.79,27.31,13.68,0,1,1,1,2
24.43,26.61,6.36,232,6.27,44.71,0.026,729,75.23,13.54,81.95,0,1,0,1,2
41.84,276.26,6.18,25,12.42,4.23,0.119,691,36.75,43.34,53.61,1,1,0,1,2
31.56,224.24,6.11,311,3.6,34.36,0.169,362,62.57,19.65,50.27,0,0,0,1,2
26.73,113.19,6.06,440,12.09,4.46,0.107,536,91.24,63.42,71.12,0,0,0,1,2
22.17,161.13,7.76,263,9.04,28.22,0.076,612,49.05,68.13,61.37,1,0,0,1,2
35.14,71.17,6.31,197,6.38,24.39,0.17,445,42.81,25.6,90.71,0,0,0,0,2
30.26,294.71,6.34,321,8.91,45.87,0.001,117,40.63,25.38,70.18,0,1,0,0,2
34.29,83.99,8.31,325,13.62,35.55,0.04,531,39.39,20.34,64.96,1,1,0,1,2
