temperature,rainfall,ph,turbidity,dissolved_oxygen,nitrate,lead,bacterial_count,clean_water_percentage,sanitation_level,healthcare_access,symptom_diarrhea,symptom_fever,water_dirty,water_scarcity,outbreak_risk
29.36,112.09,8.05,332,7.04,39.17,0.001,363,64.54,78.54,63.85,0,1,0,1,0
43.77,99.87,6.15,90,4.13,23.61,0.076,294,47.9,47.86,23.37,1,0,0,0,1
38.3,52.85,6.71,165,3.25,27.53,0.153,421,34.86,25.88,52.86,0,1,1,1,1
34.97,182.18,7.82,160,5.15,43.98,0.09,5,60.01,74.24,26.01,0,1,1,1,0
23.9,142.99,7.19,5,10.9,24.65,0.114,857,47.31,32.2,89.31,1,0,0,0,0
23.9,259.71,8.08,140,2.88,17.55,0.118,592,23.1,80.44,72.76,1,1,1,1,2
21.45,9.63,8.86,204,7.38,39.85,0.018,855,78.04,40.49,12.82,0,1,1,1,1
41.65,193.16,5.91,460,11.91,2.52,0.035,585,78.61,24.11,10.15,1,1,1,0,2
35.03,228.88,7.98,19,5.22,47.92,0.183,479,69.51,32.92,98.54,0,0,0,1,0
37.7,227.85,6.31,99,5.62,17.0,0.092,826,87.27,34.0,13.59,0,1,1,0,0
20.51,265.82,6.95,164,12.61,31.48,0.084,514,36.25,44.09,87.93,0,1,0,0,2
44.25,218.71,5.62,44,9.8,34.27,0.15,914,42.9,33.16,96.02,0,1,0,0,1
40.81,278.34,5.98,456,11.57,6.85,0.009,226,56.69,30.3,37.73,0,0,0,1,2
25.31,99.8,6.62,336,5.47,41.14,0.168,666,24.81,45.26,58.61,1,1,1,0,0
24.55,150.96,6.7,226,13.96,28.61,0.134,280,90.68,88.13,68.27,1,1,1,1,1
24.59,4.22,8.65,314,3.69,16.4,0.029,724,59.25,16.34,56.84,0,0,1,1,2
27.61,2.09,8.1,51,13.54,42.53,0.013,705,45.97,36.66,29.22,1,1,0,0,2
33.12,72.04,8.9,145,12.83,31.25,0.001,339,58.24,60.61,62.31,1,1,1,1,2
30.8,30.24,7.6,280,8.62,39.29,0.059,406,46.01,88.7,33.28,1,1,1,1,0
27.28,78.06,6.35,122,9.02,49.62,0.065,891,42.9,35.57,24.85,0,1,0,0,2
